Month,Avg. Players,Gain,%_Gain,Peak Players
July 2019,62259.96,17127.39,+37.95%,93595
June 2019,45132.57,9351.90,+26.14%,81658
May 2019,35780.66,-2420.12,-6.34%,67338
April 2019,38200.78,-2524.51,-6.20%,72544
March 2019,40725.29,-1706.13,-4.02%,77896
February 2019,42431.42,-3769.88,-8.16%,77622
January 2019,46201.30,3579.02,+8.40%,85208
December 2018,42622.28,4915.93,+13.04%,70775
November 2018,37706.36,5886.14,+18.50%,70969
October 2018,31820.22,4501.02,+16.48%,58564
September 2018,27319.20,-4169.08,-13.24%,48430
August 2018,31488.28,-5170.92,-14.11%,53885
July 2018,36659.19,6350.30,+20.95%,65952
June 2018,30308.90,6415.11,+26.85%,54779
May 2018,23893.78,-2153.26,-8.27%,46328
April 2018,26047.04,-3027.77,-10.41%,51233
March 2018,29074.81,-4432.46,-13.23%,57873
February 2018,33507.28,-1161.53,-3.35%,68204
January 2018,34668.81,1694.81,+5.14%,67410
December 2017,32974.00,4826.77,+17.15%,60373
November 2017,28147.23,2386.73,+9.27%,57223
October 2017,25760.50,4165.09,+19.29%,49984
September 2017,21595.41,-3962.61,-15.50%,40577
August 2017,25558.02,-4005.08,-13.55%,43117
July 2017,29563.10,277.67,+0.95%,53425
June 2017,29285.43,3905.15,+15.39%,48228
May 2017,25380.27,-3208.53,-11.22%,46948
April 2017,28588.81,-3850.18,-11.87%,53621
March 2017,32438.98,-3964.56,-10.89%,66194
February 2017,36403.55,2403.64,+7.07%,68103
January 2017,33999.91,5024.99,+17.34%,63843
December 2016,28974.92,6095.72,+26.64%,49147
November 2016,22879.20,-1526.98,-6.26%,47571
October 2016,24406.17,-1863.62,-7.09%,48435
September 2016,26269.79,-4162.74,-13.68%,50680
August 2016,30432.53,-517.22,-1.67%,50364
July 2016,30949.75,5588.78,+22.04%,64555
June 2016,25360.97,-136.91,-0.54%,45791
May 2016,25497.88,-108.06,-0.42%,47100
April 2016,25605.94,-1661.66,-6.09%,49920
March 2016,27267.60,-5126.97,-15.83%,55147
February 2016,32394.57,4747.51,+17.17%,61260
January 2016,27647.06,9173.00,+49.65%,50628
December 2015,18474.06,5412.43,+41.44%,38110
November 2015,13061.63,-44.48,-0.34%,26697
October 2015,13106.11,695.25,+5.60%,24201
September 2015,12410.86,-2459.21,-16.54%,24075
August 2015,14870.06,1052.36,+7.62%,25352
July 2015,13817.71,82.06,+0.60%,22622
June 2015,13735.65,-84.17,-0.61%,27177
May 2015,13819.82,5683.08,+69.84%,25625
April 2015,8136.74,-133.76,-1.62%,16636
March 2015,8270.49,-1102.20,-11.76%,16341
February 2015,9372.69,-1218.37,-11.50%,20267
January 2015,10591.06,4439.66,+72.17%,22303
December 2014,6151.40,767.28,+14.25%,11826
November 2014,5384.12,-988.43,-15.51%,12062
October 2014,6372.55,25.86,+0.41%,12294
September 2014,6346.70,-2393.85,-27.39%,11040
August 2014,8740.55,-1391.93,-13.74%,12764
July 2014,10132.47,-1805.76,-15.13%,15027
June 2014,11938.23,-1212.72,-9.22%,18081
May 2014,13150.96,-4508.02,-25.53%,24306
April 2014,17658.98,-7215.16,-29.01%,31321
March 2014,24874.13,-9879.31,-28.43%,48870
February 2014,34753.45,9878.63,+39.71%,58973
January 2014,24874.82,15669.05,+170.21%,51872
December 2013,9205.77,-,-,22571
