Month,Avg. Players,Gain,%_Gain,Peak Players
October 2014,10708.89,-1022.75,-8.72%,20483
September 2014,11731.64,-3141.26,-21.12%,26024
August 2014,14872.90,-248.74,-1.64%,26720
July 2014,15121.64,603.10,+4.15%,30532
June 2014,14518.53,-2337.23,-13.87%,31586
May 2014,16855.76,-1809.99,-9.70%,33525
April 2014,18665.75,1117.44,+6.37%,36653
March 2014,17548.31,-4215.71,-19.37%,35993
February 2014,21764.03,-1329.50,-5.76%,40857
January 2014,23093.53,10621.92,+85.17%,42545
December 2013,12471.61,12466.69,+253402.45%,45398
November 2013,4.92,2.30,+88.00%,28
October 2013,2.62,1.47,+127.62%,23
September 2013,1.15,-1.20,-51.06%,9
August 2013,2.35,1.63,+228.01%,28
July 2013,0.72,0.11,+18.71%,9
June 2013,0.60,-0.04,-5.49%,10
May 2013,0.64,0.29,+84.84%,15
April 2013,0.35,-0.49,-58.81%,6
March 2013,0.84,-0.07,-7.75%,9
February 2013,0.91,0.49,+117.45%,9
January 2013,0.42,0.09,+27.12%,4
December 2012,0.33,-0.13,-28.78%,5
November 2012,0.46,0.33,+250.55%,5
October 2012,0.13,0.13,+Inf%,3
September 2012,0.00,-,-,0
