Date,Step Count,Distance (m),Calories Burned(cal x 10)
2021-11-17,5444,2730.214859,0
2021-11-18,5764,2443.58505,0
2021-11-19,7666,3131.66245,0
2021-11-20,3839,1656.402504,0
2021-11-21,5907,2288.946089,0
2021-11-22,6842,2853.52849,0
2021-11-23,6177,2697.151401,0
2021-11-24,3671,1549.70335,0
2021-11-25,1467,601.655562,0
2021-11-26,663,273.20678,0
2021-11-27,1536,654.100147,0
2021-11-28,3460,1447.703034,0
2021-11-29,6130,2694.78548,0
2021-11-30,3834,1725.45139,0
2021-12-01,7791,3229.34113,0
2021-12-02,3432,1413.02292,0
2021-12-03,5479,2286.56912,0
2021-12-04,3298,1342.39134,0
2021-12-05,3249,1355.88628,0
2021-12-06,3186,1325.78556,0
2021-12-07,3599,1461.88805,0
2021-12-08,4700,1886.3481,0
2021-12-09,5087,2067.403318,0
2021-12-10,8013,3158.242194,0
2021-12-11,9846,3889.2771,0
2021-12-12,7656,2967.91228,0
2021-12-13,5672,2271.102817,0
2021-12-14,2271,971.22241,0
2021-12-15,5221,2119.079374,0
2021-12-16,6125,2585.463587,0
2021-12-17,4933,1997.100513,0
2021-12-18,5095,2163.78965,0
2021-12-19,5521,2315.64158,0
2021-12-20,2953,1311.48991,0
2021-12-21,3769,1539.03049,0
2021-12-22,4796,2033.878754,0
2021-12-23,8329,3540.249867,0
2021-12-24,4801,1952.21733,0
2021-12-25,798,313.30138,0
2021-12-26,4743,2042.14683,0
2021-12-27,4933,2142.98577,0
2021-12-28,2960,1163.68724,0
2021-12-29,5387,2261.452837,0
2021-12-30,3116,1251.1619,0
2021-12-31,5660,2270.01738,0
2022-01-01,296,113.6364,0
2022-01-02,1402,576.017426,0
2022-01-03,4627,1963.054247,0
2022-01-04,16091,6565.912771,0
2022-01-05,1852,716.98794,0
2022-01-06,2300,946.09284,0
2022-01-07,585,240.18465,0
2022-01-08,1083,447.157365,0
2022-01-09,544,200.93279,0
2022-01-10,552,230.69396,0
2022-01-11,967,371.1321,0
2022-01-12,846,338.52952,0
2022-01-13,1092,469.3441,0
2022-01-14,1733,695.45115,0
2022-01-15,690,274.82,0
2022-01-16,1037,427.36675,0
2022-01-17,1267,511.27041,0
2022-01-18,5664,2591.788593,0
2022-01-19,1816,798.5669,0
2022-01-20,1604,761.01909,0
2022-01-21,5620,2479.7801,0
2022-01-22,2079,906.028862,0
2022-01-23,3884,1614.57566,0
2022-01-24,2921,1256.12506,0
2022-01-25,2789,1166.5999,0
2022-01-26,4676,1922.67376,0
2022-01-27,4490,1913.42461,0
2022-01-28,4199,1808.02685,0
2022-01-29,5253,2197.02055,0
2022-01-30,3001,1466.04645,0
2022-01-31,3685,1589.81621,0
2022-02-01,4682,1997.70736,0
2022-02-02,3769,1601.76391,0
2022-02-03,6942,2828.84354,0
2022-02-04,2664,1106.780711,0
2022-02-05,2436,1008.46341,0
2022-02-06,1005,410.61469,0
2022-02-07,2870,1380.0537,0
2022-02-08,443,200.480346,0
2022-02-09,954,377.787485,0
2022-02-10,1557,755.26765,0
2022-02-11,10198,4492.72671,0
2022-02-12,2118,1176.806917,0
2022-02-13,8655,4159.46264,0
2022-02-14,1571,690.977902,0
2022-02-15,2813,1121.918164,0
2022-02-16,6813,3175.05375,0
2022-02-17,1751,627.68447,0
2022-02-18,2707,1211.30416,0
2022-02-19,1604,629.722957,0
2022-02-20,2331,997.1321,0
2022-02-21,1865,779.61811,0
2022-02-22,3970,1633.80987,0
2022-02-23,7021,3305.8872,0
2022-02-24,3342,1398.51641,0
2022-02-25,2175,1052.22293,0
2022-02-26,2043,831.504684,0
2022-02-27,1617,758.80286,0
2022-02-28,686,346.53175,0
2022-03-01,1040,430.14476,0
2022-03-02,120,50.53616,0
2022-03-03,1692,835.84373,0
2022-03-04,1923,903.89809,0
2022-03-05,268,112.90306,0
2022-03-06,4144,1701.52829,0
2022-03-07,3609,1478.17916,0
2022-03-08,1888,754.58729,0
2022-03-09,2329,970.30862,0
2022-03-10,2450,1041.11346,0
2022-03-11,3879,1648.42259,0
2022-03-12,748,328.31373,0
2022-03-13,2499,1025.29927,0
2022-03-14,514,211.191654,0
2022-03-15,5604,2423.72664,0
2022-03-16,4648,2205.512866,0
2022-03-17,4468,1910.40501,0
2022-03-18,4351,1988.10946,0
2022-03-19,4146,1732.332238,0
2022-03-20,2285,963.2188,0
2022-03-21,2596,1130.231149,0
2022-03-22,969,388.59938,0
2022-03-23,911,380.446886,0
2022-03-24,3070,1304.02799,0
2022-03-25,835,385.2817,0
2022-03-26,3585,1442.953081,0
2022-03-27,2259,983.877065,0
2022-03-28,7212,3219.125541,0
2022-03-29,10786,5310.55549,0
2022-03-30,3109,1285.34332,0
2022-03-31,3215,1470.637164,0
2022-04-01,840,352.17452,0
2022-04-02,5138,2067.122604,0
2022-04-03,3126,1379.985459,0
2022-04-04,3924,1994.652659,0
2022-04-05,210,80.00783,0
2022-04-06,8034,3679.17653,0
2022-04-07,2316,1055.122562,0
2022-04-08,2019,865.886772,0
2022-04-09,1633,694.76112,0
2022-04-10,4034,1697.6735,0
2022-04-11,2377,1088.635915,0
2022-04-12,2443,1022.59767,0
2022-04-13,4677,2086.473354,0
2022-04-14,1418,598.895872,0
2022-04-15,6056,2863.47222,0
2022-04-16,307,131.06596,0
2022-04-17,1874,755.3643,0
2022-04-18,2461,1055.786809,0
2022-04-19,1745,760.410625,0
2022-04-20,3089,1363.52386,0
2022-04-21,977,391.234027,0
2022-04-22,864,347.34032,0
2022-04-23,1373,624.15498,0
2022-04-24,3424,1509.65203,0
2022-04-25,2225,938.78046,0
2022-04-26,5737,2817.34477,0
2022-04-27,2218,926.40829,0
2022-04-28,3314,1546.29739,0
2022-04-29,3421,1538.72825,0
2022-04-30,472,192.81774,0
2022-05-01,338,130.52525,0
2022-05-02,1206,590.51562,0
2022-05-03,3055,1287.269437,0
2022-05-04,6543,2865.07208,0
2022-05-05,3476,1586.892315,0
2022-05-06,3307,1476.74054,0
2022-05-07,601,276.87675,0
2022-05-08,1744,737.194132,0
2022-05-09,4113,1646.32951,0
